vessel_id,ship_type,fuel_type,displacement_tons,cargo_load_pct,speed_knots,distance_nm,weather,power_kw,voyage_hours,fuel_kg,co2_kg,cost_usd
V0001,RoRo,MDO,16070.9,0.914,16.45,310.6,Calm,11667.6,18.89,18936.17,60785.12,13255.32
V0001,RoRo,MDO,31583.9,0.79,17.46,332.3,Moderate,22178.5,19.03,27165.11,87200.02,19015.58
V0002,RoRo,HFO,24819.7,0.753,16.64,115.0,Calm,15599.9,6.91,8198.3,25496.72,4509.07
V0002,RoRo,HFO,37753.6,0.414,18.65,206.1,Moderate,27955.8,11.05,18858.08,58648.63,10371.94
V0002,RoRo,HFO,24469.1,0.694,20.26,87.2,Calm,27552.5,4.31,11909.54,37038.67,6550.25
V0002,RoRo,HFO,27151.8,0.712,17.79,170.1,Calm,20060.0,9.56,14691.75,45691.33,8080.46
V0002,RoRo,HFO,10648.4,0.732,20.61,453.3,Calm,16791.8,21.99,21360.18,66430.16,11748.1
V0002,RoRo,HFO,30167.2,0.861,16.25,346.7,Moderate,17613.2,21.34,43843.99,136354.8,24114.19
V0002,RoRo,HFO,37480.4,0.623,15.84,66.8,Moderate,17908.6,4.22,5474.39,17025.35,3010.91
V0002,RoRo,HFO,34247.5,0.709,16.54,478.8,Calm,18803.3,28.95,48473.26,150751.85,26660.3
V0002,RoRo,HFO,38081.3,0.995,15.32,70.2,Calm,17026.8,4.58,7351.77,22864.0,4043.47
V0002,RoRo,HFO,32458.2,0.59,21.13,452.1,Moderate,38302.4,21.4,78160.03,243077.7,42988.02
V0003,Tanker,MDO,127755.9,0.962,10.57,386.1,Calm,12504.2,36.53,26839.27,86154.06,18787.49
V0003,Tanker,MDO,58758.4,0.76,14.99,119.0,Calm,20375.5,7.94,10181.64,32683.06,7127.15
V0003,Tanker,MDO,110339.0,0.486,14.66,487.3,Moderate,28410.4,33.23,87017.46,279326.06,60912.22
V0003,Tanker,MDO,88155.4,0.704,10.79,354.9,Calm,9848.0,32.89,21859.85,70170.12,15301.9
V0003,Tanker,MDO,184807.1,0.843,11.2,411.9,Moderate,19320.8,36.78,60393.75,193863.94,42275.63
V0003,Tanker,MDO,59032.3,0.693,15.57,228.9,Calm,22569.8,14.71,32255.53,103540.25,22578.87
V0003,Tanker,MDO,287796.4,0.733,11.72,466.2,Calm,27934.9,39.78,98158.02,315087.24,68710.61
V0003,Tanker,MDO,54121.8,0.758,10.84,238.6,Stormy,8030.3,22.01,11894.36,38180.9,8326.05
V0003,Tanker,MDO,246199.3,0.465,12.8,403.1,Calm,30898.5,31.49,67658.73,217184.52,47361.11
V0003,Tanker,MDO,244124.7,0.921,11.4,288.8,Moderate,24906.9,25.35,95415.54,306283.87,66790.88
V0004,Container Ship,HFO,110917.6,0.549,20.52,440.4,Calm,1399387.9,21.46,1924104.07,5983963.65,1058257.24
V0004,Container Ship,HFO,171742.7,0.757,22.17,97.4,Calm,2473151.5,4.39,1070091.04,3327983.15,588550.07
V0004,Container Ship,HFO,186686.2,0.499,17.1,114.7,Stormy,1246874.7,6.71,681679.67,2120023.78,374923.82
V0004,Container Ship,HFO,59186.5,0.505,15.15,59.5,Calm,367122.9,3.93,112064.66,348521.09,61635.56
V0004,Container Ship,HFO,142317.3,0.703,20.81,227.1,Calm,1783740.7,10.92,1752479.66,5450211.75,963863.81
V0004,Container Ship,HFO,191715.0,0.55,14.43,131.7,Calm,701791.5,9.12,872837.37,2714524.21,480060.55
V0004,Container Ship,HFO,109089.9,0.461,14.49,218.1,Moderate,496774.0,15.05,921582.02,2866120.08,506870.11
V0004,Container Ship,HFO,39872.8,0.942,23.25,94.6,Moderate,1165328.9,4.07,318330.25,990007.08,175081.64
V0004,Container Ship,HFO,182384.9,0.481,21.79,339.1,Moderate,2391235.6,15.56,3133087.34,9743901.64,1723198.04
V0004,Container Ship,HFO,127702.3,0.784,22.58,258.3,Calm,2157107.7,11.44,2401409.29,7468382.89,1320775.11
V0005,Tanker,HFO,156416.3,0.62,12.5,154.7,Calm,22026.5,12.37,22487.09,69934.84,12367.9
V0005,Tanker,HFO,129352.6,0.95,14.11,183.6,Stormy,32970.5,13.01,60978.78,189644.02,33538.33
V0005,Tanker,HFO,115299.3,0.883,13.21,431.9,Moderate,23359.0,32.68,63539.02,197606.34,34946.46
V0005,Tanker,HFO,199052.3,0.817,11.73,380.7,Calm,22302.0,32.46,61951.73,192669.89,34073.45
V0005,Tanker,HFO,193954.4,0.962,10.57,376.6,Calm,16533.1,35.62,52079.72,161967.93,28643.85
V0005,Tanker,HFO,288692.1,0.877,14.81,317.2,Moderate,60531.0,21.42,89299.85,277722.52,49114.92
V0005,Tanker,HFO,94680.4,0.503,13.54,92.8,Moderate,20274.6,6.85,16960.52,52747.2,9328.28
V0005,Tanker,HFO,182418.4,0.88,12.8,285.2,Moderate,28790.7,22.29,88481.69,275178.05,48664.93
V0005,Tanker,HFO,189888.2,0.453,15.59,103.9,Calm,46737.7,6.66,30895.94,96086.38,16992.77
V0005,Tanker,HFO,140117.3,0.939,14.65,352.1,Calm,35243.7,24.04,81113.21,252262.08,44612.26
V0006,RoRo,HFO,19433.2,0.663,15.26,116.5,Stormy,11027.9,7.63,7330.9,22799.1,4031.99
V0006,RoRo,HFO,31890.6,0.688,18.42,471.3,Moderate,25665.3,25.58,59262.55,184306.54,32594.4
V0006,RoRo,HFO,39598.9,0.91,19.74,478.0,Calm,36780.6,24.21,75929.08,236139.45,41761.0
V0006,RoRo,HFO,13657.7,0.673,18.71,358.7,Calm,14626.6,19.18,16538.03,51433.26,9095.91
V0006,RoRo,HFO,18860.8,0.951,17.67,249.0,Calm,16214.2,14.1,22125.27,68809.59,12168.9
V0006,RoRo,HFO,13317.7,0.902,21.98,445.6,Calm,24494.4,20.28,53804.87,167333.13,29592.68
V0006,RoRo,HFO,39973.1,0.938,19.33,342.6,Calm,34916.7,17.73,64069.58,199256.38,35238.27
V0006,RoRo,HFO,17224.8,0.946,15.14,399.5,Calm,9601.9,26.38,26162.33,81364.84,14389.28
V0006,RoRo,HFO,11084.9,0.881,14.04,73.2,Moderate,5856.3,5.22,1858.81,5780.9,1022.35
V0006,RoRo,HFO,35482.3,0.863,14.46,410.4,Stormy,14626.2,28.39,49819.19,154937.68,27400.55
V0007,Container Ship,MDO,37628.7,0.847,16.02,106.2,Moderate,359610.2,6.63,205993.93,661240.52,144195.75
V0007,Container Ship,MDO,191714.9,0.562,15.55,380.6,Calm,880308.0,24.47,2245426.23,7207818.2,1571798.36
V0007,Container Ship,MDO,216238.9,0.425,20.12,74.5,Moderate,2078268.5,3.7,627075.85,2012913.47,438953.09
V0007,Container Ship,MDO,164819.9,0.988,15.73,91.3,Calm,902591.7,5.8,371479.77,1192450.06,260035.84
V0007,Container Ship,MDO,178975.4,0.968,20.36,307.6,Calm,2059993.1,15.1,2396294.85,7692106.47,1677406.4
V0007,Container Ship,MDO,139823.3,0.489,21.0,342.2,Stormy,1898277.7,16.29,2519119.63,8086374.0,1763383.74
V0007,Container Ship,MDO,106766.5,0.567,18.74,103.6,Calm,1043876.6,5.53,646651.85,2075752.43,452656.29
V0007,Container Ship,MDO,111301.6,0.645,20.11,335.6,Calm,1349648.6,16.69,1248062.08,4006279.27,873643.45
V0007,Container Ship,MDO,141778.2,0.684,17.17,66.2,Calm,995847.7,3.86,433638.45,1391979.43,303546.92
V0007,Container Ship,MDO,138767.0,0.791,19.66,365.9,Moderate,1568029.5,18.61,2897674.37,9301534.74,2028372.06
V0008,Container Ship,HFO,111969.5,0.842,20.26,212.3,Moderate,1503849.1,10.48,1452911.6,4518555.07,799101.38
V0008,Container Ship,HFO,205000.9,0.589,19.04,284.1,Moderate,1766270.1,14.93,1894925.37,5893217.89,1042208.95
V0008,Container Ship,HFO,123886.9,0.433,15.16,82.4,Moderate,614676.5,5.44,278919.54,867439.77,153405.75
V0008,Container Ship,HFO,93484.7,0.409,15.73,191.3,Moderate,565915.9,12.16,366116.38,1138621.96,201364.01
V0008,Container Ship,HFO,192744.1,0.472,17.72,119.1,Moderate,1331139.1,6.72,368171.07,1145012.02,202494.09
V0008,Container Ship,HFO,212101.5,0.813,23.95,397.4,Calm,3636479.9,16.59,3596198.76,11184178.14,1977909.32
V0008,Container Ship,HFO,103689.9,0.715,20.41,54.8,Calm,1366612.7,2.69,394178.31,1225894.53,216798.07
V0008,Container Ship,HFO,61522.3,0.903,22.36,495.1,Moderate,1374166.3,22.14,3895876.21,12116175.02,2142731.92
V0008,Container Ship,HFO,56903.2,0.853,18.48,226.7,Calm,700754.0,12.26,827991.42,2575053.31,455395.28
V0008,Container Ship,HFO,119172.1,0.427,15.51,131.4,Stormy,677129.7,8.47,341606.06,1062394.85,187883.33
V0009,RoRo,HFO,24705.9,0.546,18.69,272.0,Calm,21053.0,14.55,22167.58,68941.16,12192.17
V0009,RoRo,HFO,29127.7,0.435,19.19,351.6,Moderate,25769.4,18.32,32554.14,101243.38,17904.78
V0009,RoRo,HFO,26185.8,0.861,16.71,430.0,Calm,16750.3,25.74,66398.98,206500.82,36519.44
V0009,RoRo,HFO,25143.7,0.604,21.28,314.2,Stormy,35021.9,14.77,36812.42,114486.63,20246.83
V0009,RoRo,HFO,21956.6,0.603,21.34,333.9,Calm,29336.6,15.65,50216.21,156172.4,27618.91
V0009,RoRo,HFO,10744.7,0.759,21.42,251.7,Calm,19072.0,11.75,19810.83,61611.67,10895.95
V0009,RoRo,HFO,18340.7,0.772,19.62,335.2,Stormy,23108.4,17.08,49385.63,153589.32,27162.1
V0009,RoRo,HFO,32843.0,0.869,21.23,374.3,Stormy,44017.1,17.63,52637.35,163702.14,28950.54
V0009,RoRo,HFO,13423.1,0.792,19.86,248.0,Moderate,18468.4,12.49,31765.11,98789.49,17470.81
V0009,RoRo,HFO,39537.3,0.608,16.31,380.2,Moderate,20170.4,23.32,27367.37,85112.53,15052.06
V0010,Container Ship,MDO,123043.0,0.647,23.86,259.2,Stormy,2650605.9,10.87,2085042.04,6692984.94,1459529.43
V0010,Container Ship,MDO,46115.7,0.894,19.55,410.9,Stormy,800224.1,21.01,1595797.42,5122509.72,1117058.19
V0010,Container Ship,MDO,100813.4,0.828,14.49,99.2,Moderate,511138.8,6.85,331909.07,1065428.12,232336.35
V0010,Container Ship,MDO,194436.7,0.541,21.39,410.4,Calm,2301762.6,19.18,5460331.15,17527663.0,3822231.81
V0010,Container Ship,MDO,193043.8,0.418,14.05,281.6,Moderate,654671.0,20.05,961214.7,3085499.19,672850.29
V0010,Container Ship,MDO,200170.6,0.609,20.72,156.9,Stormy,2380557.2,7.58,2980475.97,9567327.87,2086333.18
V0010,Container Ship,MDO,86799.3,0.932,19.9,228.6,Calm,1178624.3,11.49,850732.32,2730850.76,595512.63
V0010,Container Ship,MDO,46114.2,0.999,17.42,372.9,Moderate,546407.3,21.41,1032079.69,3312975.81,722455.78
V0010,Container Ship,MDO,107509.0,0.821,15.37,308.7,Stormy,672621.7,20.09,721306.84,2315394.97,504914.79
V0010,Container Ship,MDO,104550.1,0.619,23.15,273.6,Calm,1964053.0,11.82,1462206.36,4693682.41,1023544.45
V0011,Bulk Carrier,HFO,22827.0,0.652,12.27,335.5,Calm,7810.9,27.35,12302.19,38259.82,6766.21
V0011,Bulk Carrier,HFO,140314.1,0.541,12.7,178.0,Stormy,31230.0,14.01,25712.77,79966.72,14142.02
V0011,Bulk Carrier,HFO,165450.4,0.792,12.65,384.0,Moderate,34383.4,30.36,77823.44,242030.88,42802.89
V0011,Bulk Carrier,HFO,58619.5,0.57,11.61,119.9,Stormy,13417.9,10.33,13937.14,43344.52,7665.43
V0011,Bulk Carrier,HFO,146715.9,0.997,13.92,247.3,Calm,42432.0,17.77,59119.52,183861.72,32515.74
V0011,Bulk Carrier,HFO,150342.2,0.737,14.51,404.4,Calm,46311.4,27.87,172505.01,536490.59,94877.76
V0011,Bulk Carrier,HFO,124467.5,0.422,14.78,280.7,Calm,40093.0,19.0,37830.81,117653.81,20806.94
V0011,Bulk Carrier,HFO,36480.4,0.673,10.21,160.7,Calm,6177.2,15.75,8303.17,25822.85,4566.74
V0011,Bulk Carrier,HFO,70011.2,0.436,10.25,100.2,Calm,9163.8,9.77,6229.41,19373.47,3426.18
V0011,Bulk Carrier,HFO,53123.3,0.401,11.51,227.4,Calm,10688.6,19.75,22868.13,71119.87,12577.47
V0012,Tanker,HFO,164746.0,0.868,12.94,199.9,Calm,26668.2,15.45,28313.28,88054.29,15572.3
V0012,Tanker,HFO,96595.8,0.81,11.93,159.1,Calm,14489.5,13.33,25569.46,79521.02,14063.2
V0012,Tanker,HFO,115952.3,0.827,15.58,71.9,Calm,36553.4,4.61,15405.77,47911.95,8473.17
V0012,Tanker,HFO,38027.9,0.513,10.83,463.5,Calm,5441.9,42.8,25938.23,80667.9,14266.03
V0012,Tanker,HFO,55423.1,0.754,13.72,158.7,Moderate,15622.0,11.57,9954.97,30959.97,5475.24
V0012,Tanker,HFO,26303.9,0.864,15.12,328.6,Calm,12518.5,21.73,19342.38,60154.82,10638.31
V0012,Tanker,HFO,94922.5,0.991,15.51,254.5,Moderate,33949.1,16.41,67659.86,210422.16,37212.92
V0012,Tanker,HFO,248618.8,0.53,11.91,409.6,Moderate,26429.8,34.39,96753.34,300902.9,53214.34
V0012,Tanker,HFO,112349.8,0.411,10.47,63.4,Calm,9879.9,6.06,4651.57,14466.38,2558.36
V0012,Tanker,HFO,224425.4,0.934,14.25,382.4,Calm,44379.9,26.84,153103.81,476152.84,84207.09
V0013,LNG Carrier,HFO,70060.3,0.995,18.16,127.8,Moderate,47151.9,7.04,29471.68,91656.93,16209.42
V0013,LNG Carrier,HFO,61160.6,0.938,19.96,313.1,Calm,54362.3,15.69,77651.02,241494.68,42708.06
V0013,LNG Carrier,HFO,97534.0,0.757,17.73,172.9,Calm,50081.9,9.75,50314.17,156477.08,27672.8
V0013,LNG Carrier,HFO,106453.5,0.539,19.02,58.2,Moderate,64885.4,3.06,23419.02,72833.15,12880.46
V0013,LNG Carrier,HFO,77756.5,0.807,17.66,299.1,Calm,43035.9,16.93,92124.1,286505.94,50668.25
V0013,LNG Carrier,HFO,99685.6,0.709,18.55,492.5,Calm,57590.9,26.55,130469.8,405761.09,71758.39
V0013,LNG Carrier,HFO,115722.0,0.934,17.12,233.6,Calm,52450.9,13.64,57917.22,180122.54,31854.47
V0013,LNG Carrier,HFO,107780.7,0.52,14.9,482.7,Calm,30098.7,32.4,64587.89,200868.34,35523.34
V0013,LNG Carrier,HFO,92886.1,0.71,18.4,445.3,Calm,53640.3,24.2,160961.75,500591.05,88528.96
V0013,LNG Carrier,HFO,111179.5,0.942,18.7,306.5,Calm,66630.3,16.39,80573.32,250583.03,44315.33
V0014,LNG Carrier,HFO,74307.8,0.626,18.46,60.4,Stormy,50403.8,3.27,23584.93,73349.13,12971.71
V0014,LNG Carrier,HFO,122130.0,0.749,16.37,193.6,Moderate,47516.9,11.83,41969.83,130526.17,23083.41
V0014,LNG Carrier,HFO,102124.2,0.626,19.61,260.4,Calm,67906.9,13.28,87351.93,271664.5,48043.56
V0014,LNG Carrier,HFO,69177.6,0.973,14.98,358.1,Calm,25113.8,23.91,41694.52,129669.95,22931.99
V0014,LNG Carrier,HFO,66924.7,0.521,18.52,446.5,Calm,42120.9,24.11,64117.71,199406.08,35264.74
V0014,LNG Carrier,HFO,96540.9,0.689,16.81,166.7,Calm,41768.6,9.92,45145.44,140402.32,24829.99
V0014,LNG Carrier,HFO,105676.3,0.577,16.97,99.8,Calm,44527.5,5.88,22931.57,71317.18,12612.36
V0014,LNG Carrier,HFO,121369.8,0.972,19.41,493.1,Stormy,87446.3,25.4,149797.31,465869.65,82388.52
V0014,LNG Carrier,HFO,69645.5,0.907,15.83,298.8,Calm,29373.8,18.88,40057.61,124579.18,22031.69
V0014,LNG Carrier,HFO,97965.5,0.911,14.99,164.0,Calm,31366.3,10.94,25828.13,80325.47,14205.47
V0015,RoRo,MDO,18881.0,0.863,16.97,232.2,Moderate,14684.7,13.68,25762.71,82698.29,18033.9
V0015,RoRo,MDO,38246.2,0.559,14.97,453.3,Calm,14501.4,30.29,27870.66,89464.81,19509.46
V0015,RoRo,MDO,15384.8,0.826,17.31,252.4,Calm,12968.2,14.58,21645.12,69480.82,15151.58
V0015,RoRo,MDO,36237.3,0.547,16.71,288.9,Calm,19437.2,17.28,26042.68,83597.0,18229.88
V0015,RoRo,MDO,38200.6,0.694,21.1,399.8,Moderate,43571.8,18.94,66544.65,213608.34,46581.26
V0015,RoRo,MDO,26097.0,0.971,17.48,109.3,Calm,19564.7,6.25,14030.68,45038.48,9821.48
V0015,RoRo,MDO,38596.2,0.552,15.31,299.5,Calm,15592.7,19.56,32964.42,105815.79,23075.09
V0015,RoRo,MDO,13568.6,0.679,21.33,194.7,Moderate,22501.9,9.13,18686.37,59983.26,13080.46
V0015,RoRo,MDO,25956.6,0.845,15.5,494.9,Moderate,13775.6,31.93,23528.93,75527.85,16470.25
V0015,RoRo,MDO,14586.3,0.605,21.37,203.6,Calm,22430.1,9.53,15860.98,50913.75,11102.69
V0016,RoRo,MDO,33809.1,0.783,15.7,465.7,Calm,16197.7,29.67,40139.84,128848.88,28097.89
V0016,RoRo,MDO,39801.1,0.477,16.25,77.9,Calm,18697.0,4.8,7016.84,22524.07,4911.79
V0016,RoRo,MDO,28968.5,0.836,17.14,464.8,Calm,19252.6,27.11,58914.2,189114.57,41239.94
V0016,RoRo,MDO,29798.5,0.606,18.8,262.8,Stormy,27055.2,13.98,33875.27,108739.62,23712.69
V0016,RoRo,MDO,30342.8,0.935,20.77,68.1,Calm,36039.7,3.28,9200.28,29532.89,6440.19
V0016,RoRo,MDO,29799.9,0.843,16.42,476.4,Calm,17265.2,29.01,41026.04,131693.59,28718.23
V0016,RoRo,MDO,26854.6,0.652,19.76,279.0,Stormy,29618.8,14.12,34716.17,111438.91,24301.32
V0016,RoRo,MDO,20270.9,0.455,17.27,248.0,Calm,14233.0,14.37,20573.84,66042.02,14401.69
V0016,RoRo,MDO,29665.5,0.519,19.3,58.9,Calm,26029.0,3.05,5866.33,18830.93,4106.43
V0016,RoRo,MDO,35818.9,0.565,15.97,350.5,Calm,16904.7,21.94,28614.86,91853.7,20030.4
V0017,RoRo,HFO,30242.1,0.821,21.28,141.1,Moderate,39300.8,6.63,21304.4,66256.68,11717.42
V0017,RoRo,HFO,28301.8,0.986,16.04,331.5,Calm,16015.0,20.66,31421.57,97721.07,17281.86
V0017,RoRo,HFO,30562.8,0.766,14.19,230.0,Stormy,12252.9,16.22,15433.19,47997.23,8488.26
V0017,RoRo,HFO,38078.1,0.694,20.83,195.0,Moderate,41814.5,9.36,36187.24,112542.31,19902.98
V0017,RoRo,HFO,20023.3,0.906,15.95,460.7,Stormy,13539.2,28.88,39496.62,122834.5,21723.14
V0017,RoRo,HFO,32349.7,0.674,20.12,393.2,Calm,32336.7,19.54,83890.94,260900.82,46140.02
V0017,RoRo,HFO,29344.6,0.646,16.31,166.0,Moderate,16703.9,10.18,22456.47,69839.63,12351.06
V0017,RoRo,HFO,34481.7,0.602,20.88,125.5,Calm,37145.2,6.01,22647.08,70432.41,12455.89
V0017,RoRo,HFO,35175.2,0.634,15.11,398.5,Calm,14350.6,26.38,22371.77,69576.21,12304.47
V0017,RoRo,HFO,15777.7,0.96,15.23,240.3,Moderate,9608.8,15.77,19925.51,61968.34,10959.03
V0018,RoRo,HFO,33722.1,0.467,16.17,448.2,Moderate,17106.2,27.73,28398.25,88318.55,15619.04
V0018,RoRo,HFO,15290.7,0.812,17.39,298.5,Moderate,13576.1,17.17,21997.27,68411.52,12098.5
V0018,RoRo,HFO,39761.3,0.837,22.0,282.4,Calm,50231.0,12.84,75057.23,233427.98,41281.48
V0018,RoRo,HFO,19549.8,0.803,17.69,241.1,Calm,16163.3,13.63,14843.13,46162.15,8163.72
V0018,RoRo,HFO,33623.9,0.593,20.66,419.6,Calm,35275.1,20.31,95492.2,296980.76,52520.71
V0018,RoRo,HFO,34041.7,0.927,17.93,451.9,Calm,24999.3,25.2,76485.15,237868.81,42066.83
V0018,RoRo,HFO,14605.8,0.4,18.27,80.4,Calm,13378.5,4.4,4346.0,13516.07,2390.3
V0018,RoRo,HFO,33238.7,0.501,14.28,343.5,Moderate,11769.9,24.06,23895.06,74313.64,13142.28
V0018,RoRo,HFO,35824.0,0.456,20.58,292.5,Moderate,36677.1,14.21,44909.35,139668.07,24700.14
V0018,RoRo,HFO,32133.9,0.85,16.06,388.5,Moderate,17692.1,24.19,60645.29,188606.86,33354.91
V0019,Bulk Carrier,HFO,55070.3,0.452,11.04,388.2,Calm,9784.0,35.15,27969.31,86984.56,15383.12
V0019,Bulk Carrier,HFO,48055.4,0.482,14.12,229.3,Stormy,20682.2,16.25,26074.95,81093.09,14341.22
V0019,Bulk Carrier,HFO,91796.7,0.924,11.96,443.8,Stormy,21367.4,37.09,49060.1,152576.91,26983.06
V0019,Bulk Carrier,HFO,55327.7,0.74,13.28,180.1,Moderate,18963.4,13.56,18438.8,57344.67,10141.34
V0019,Bulk Carrier,HFO,152567.5,0.761,13.55,62.0,Calm,38281.1,4.57,9517.87,29600.56,5234.83
V0019,Bulk Carrier,HFO,61629.5,0.737,12.09,391.1,Moderate,15376.4,32.34,46541.06,144742.69,25597.58
V0019,Bulk Carrier,HFO,63311.5,0.806,12.61,191.6,Moderate,18012.7,15.2,29117.94,90556.8,16014.87
V0019,Bulk Carrier,HFO,20170.8,0.503,11.06,452.5,Moderate,5301.1,40.91,18805.28,58484.42,10342.9
V0019,Bulk Carrier,HFO,95193.0,0.529,12.38,471.0,Calm,20230.3,38.04,116225.0,361459.76,63923.75
V0019,Bulk Carrier,HFO,51277.8,0.524,13.4,146.3,Calm,16953.6,10.92,14658.84,45588.98,8062.36
V0020,Tanker,HFO,261577.5,0.614,11.92,212.3,Calm,26885.2,17.81,46616.35,144976.85,25638.99
V0020,Tanker,HFO,192883.4,0.46,11.23,449.8,Stormy,19473.1,40.04,48775.06,151690.45,26826.29
V0020,Tanker,HFO,56714.8,0.853,13.72,104.9,Stormy,17120.8,7.65,16564.57,51515.82,9110.51
V0020,Tanker,HFO,169666.6,0.594,15.98,69.9,Calm,48288.8,4.37,16320.8,50757.67,8976.44
V0020,Tanker,HFO,183636.8,0.699,14.84,126.7,Stormy,45882.7,8.54,36064.2,112159.66,19835.31
V0020,Tanker,HFO,134319.4,0.516,13.51,107.6,Calm,24515.1,7.97,26479.17,82350.23,14563.55
V0020,Tanker,HFO,263189.8,0.659,13.54,211.4,Calm,39903.4,15.62,57104.23,177594.15,31407.33
V0020,Tanker,HFO,279861.6,0.671,15.6,226.2,Calm,63760.4,14.5,124195.25,386247.24,68307.39
V0020,Tanker,HFO,151999.9,0.607,13.95,299.5,Calm,29958.8,21.46,57287.85,178165.22,31508.32
V0020,Tanker,HFO,51025.9,0.529,11.0,375.4,Calm,6957.0,34.14,18995.24,59075.19,10447.38
V0021,Bulk Carrier,MDO,61187.6,0.801,14.13,467.4,Moderate,24772.0,33.07,103623.52,332631.51,72536.47
V0021,Bulk Carrier,MDO,171283.2,0.403,11.96,465.8,Moderate,27245.0,38.93,76337.17,245042.31,53436.02
V0021,Bulk Carrier,MDO,128867.0,0.911,12.81,61.9,Moderate,31030.5,4.83,7430.95,23853.35,5201.67
V0021,Bulk Carrier,MDO,94521.2,0.927,10.03,404.0,Calm,11668.3,40.29,67263.43,215915.6,47084.4
V0021,Bulk Carrier,MDO,110412.5,0.698,11.35,122.3,Moderate,18601.4,10.77,18080.01,58036.82,12656.0
V0021,Bulk Carrier,MDO,174466.6,0.757,14.82,435.0,Calm,54663.2,29.36,137227.97,440501.8,96059.58
V0021,Bulk Carrier,MDO,79914.2,0.739,10.51,414.9,Calm,11530.4,39.5,19946.08,64026.93,13962.26
V0021,Bulk Carrier,MDO,117153.8,0.471,12.12,216.5,Calm,21527.5,17.86,40075.62,128642.75,28052.94
V0021,Bulk Carrier,MDO,154034.7,0.414,11.42,186.7,Stormy,23437.3,16.35,35671.41,114505.23,24969.99
V0021,Bulk Carrier,MDO,94188.1,0.626,13.45,123.5,Moderate,27391.9,9.18,14038.59,45063.87,9827.01
V0022,Bulk Carrier,HFO,103560.1,0.606,11.07,112.8,Calm,15579.0,10.19,10759.02,33460.57,5917.46
V0022,Bulk Carrier,HFO,171571.2,0.448,12.02,414.0,Stormy,29629.2,34.43,109230.96,339708.28,60077.03
V0022,Bulk Carrier,HFO,159425.5,0.422,13.17,243.1,Calm,33487.0,18.45,48397.34,150515.73,26618.54
V0022,Bulk Carrier,HFO,178966.9,0.581,14.79,68.2,Moderate,55338.5,4.61,22301.73,69358.38,12265.95
V0022,Bulk Carrier,HFO,27218.4,0.436,14.68,426.9,Calm,14316.4,29.08,62084.82,193083.8,34146.65
V0022,Bulk Carrier,HFO,44921.2,0.638,12.67,462.1,Moderate,14028.9,36.46,41662.09,129569.1,22914.15
V0022,Bulk Carrier,HFO,30098.7,0.572,14.84,189.8,Calm,16342.6,12.79,13966.59,43436.08,7681.62
V0022,Bulk Carrier,HFO,35085.8,0.986,14.34,368.5,Moderate,18535.7,25.71,47719.81,148408.6,26245.89
V0022,Bulk Carrier,HFO,170941.2,0.726,10.63,408.1,Moderate,20595.0,38.37,76814.36,238892.65,42247.9
V0022,Bulk Carrier,HFO,175488.6,0.632,13.52,267.3,Calm,40590.8,19.77,45468.31,141406.45,25007.57
