ship_type,total_fuel_mt,fuel_per_nm_kg,co2_per_nm_kg,hours_at_sea
Ro-pax ship,7460.56,216.61,681.54,2348.7
Ro-pax ship,5565.78,88.57,278.05,4260.66
Ro-pax ship,2659.38,102.05,320.92,2165.46
Passenger ship,1727.3,1295.02,4135.88,125.14
Ro-pax ship,7773.85488,116.75,367.59,5303.52
Ro-pax ship,5058.32,150.99,484.08,3028.73
Ro-pax ship,11318.16,152.89,483.59,5455.11
Ro-pax ship,15391.77,205.81,651.98,4192.61
Ro-pax ship,16321.41,173.97,549.04,6208.81
Ro-pax ship,12085.407,272.54,852.61,2522.46
Ro-pax ship,6220.566,246.95,775.19,1819.74
Other ship types,611.1,133.65,416.91,409.7
Bulk carrier,768.57,114.71,359.9,763.65
Ro-pax ship,42.78,52.56,168.51,109.67
Ro-pax ship,5020.58,135.44,426.19,2849.6
Other ship types,4191.5,164.9,513.6,2444.84
Ro-pax ship,3096.12,158.64,504.03,1651.55
Ro-pax ship,2936.17,115.0,368.7,1912.9
General cargo ship,382.0,38.68,124.01,156.17
Bulk carrier,1481.7251,51.43,164.89,2847.0
Other ship types,971.68,83.46,263.17,1265.6
Bulk carrier,1114.68,43.38,137.0,3057.0
Passenger ship,300.77,44.01,141.1,720.36
Passenger ship,1176.4,64.5,206.8,1880.2
Ro-pax ship,3908.09,45.56,146.08,6461.4
Ro-ro ship,7024.72,105.31,329.41,5196.68
Ro-pax ship,6077.935,176.14,555.53,2742.32
Ro-pax ship,1726.596,104.94,329.26,1111.22
Bulk carrier,203.45,44.14,139.74,499.2
General cargo ship,426.9,40.19,128.86,141.25
General cargo ship,356.8,39.65,124.45,1053.35
General cargo ship,164.5,33.53,107.5,124.0
Bulk carrier,4874.87,107.49,338.07,4618.19
General cargo ship,543.41,58.82,186.56,1407.52
Ro-ro ship,321.93,52.66,165.18,795.52
General cargo ship,536.287,50.35,161.41,5569.17
Chemical tanker,1640.89,40.29,126.03,3746.7
General cargo ship,82.2,34.6,110.04,333.0
Other ship types,4676.5,201.86,647.15,2498.44
Other ship types,1947.3,171.63,550.24,1024.58
Other ship types,1790.64,45.4,143.63,4907.83
Passenger ship,7814.29,194.94,624.96,2956.01
Bulk carrier,143.9,220.47,693.13,76.42
General cargo ship,132.2,48.34,152.72,394.0
Ro-ro ship,897.99,37.43,120.02,2958.88
Ro-pax ship,5545.12065,145.42,455.53,3615.1
General cargo ship,112.6,50.54,159.95,257.15
General cargo ship,403.69,37.6,118.97,1392.9
Ro-pax ship,61.637,259.52,832.03,29.2
Ro-pax ship,1230.506,155.76,499.37,743.2
Ro-ro ship,999.95,63.71,198.72,2553.0
Ro-pax ship,13817.81,206.0,643.82,4355.02
Ro-pax ship,14900.96,205.33,641.46,4598.95
Ro-pax ship,3200.295,92.56,291.69,3955.0
Ro-pax ship,2538.57,126.47,403.18,2406.12
Ro-pax ship,6318.51,89.33,281.66,5278.44
Ro-pax ship,11969.42,170.74,533.58,4487.25
Ro-ro ship,54.7,55.82,178.95,84.0
Ro-pax ship,4999.54,111.71,353.51,3322.25
Ro-ro ship,1768.4,53.31,170.92,3977.6
Ro-pax ship,3500.53,80.69,256.05,2966.67
General cargo ship,462.16,31.13,98.45,1600.5
General cargo ship,161.4,43.05,136.37,467.42
Ro-pax ship,8270.992,208.35,655.36,2581.47
Other ship types,423.76,117.74,367.7,362.18
Other ship types,611.89,116.44,364.78,537.3
Vehicle carrier,5591.76,72.14,225.68,6515.44
Ro-pax ship,8764.87,170.54,536.24,3874.6
Ro-ro ship,2587.15,64.48,201.95,4075.2
Other ship types,2029.02,115.53,364.92,2348.32
General cargo ship,464.442,35.9,113.53,479.19
Ro-pax ship,7023.88,115.07,362.58,5010.45
Passenger ship,1186.69,44.94,144.09,3439.59
Ro-pax ship,2004.06,50.65,160.48,2719.58
Refrigerated cargo carrier,566.9,91.84,293.14,761.47
Ro-ro ship,1887.888,65.76,205.93,3534.21
Ro-pax ship,3358.19,394.73,1252.47,700.3
Ro-pax ship,12814.9,142.67,444.35,5609.39
Ro-pax ship,12863.03,146.03,460.35,5503.76
General cargo ship,479.3,51.2,161.73,979.9
Other ship types,1950.0,110.75,349.61,2290.67
Ro-pax ship,11260.59,220.51,692.75,3588.94
Passenger ship (Cruise Passenger ship),15755.71,202.45,641.57,5767.78
Ro-pax ship,9416.88,180.76,568.72,3115.19
Refrigerated cargo carrier,261.9,79.65,253.9,358.83
Ro-pax ship,4573.47641,180.75,567.2,2027.76
Other ship types,5727.89,160.47,514.48,3077.38
General cargo ship,39.0,30.76,97.31,154.33
Ro-ro ship,833.95,80.93,252.89,1282.2
General cargo ship,240.2,38.48,122.09,775.5
Other ship types,100.7,30.11,94.53,417.0
Vehicle carrier,3984.1,71.74,225.5,4420.0
Bulk carrier,305.98,37.45,120.07,1414.32
Passenger ship,11733.83,222.02,711.78,3894.65
General cargo ship,89.05,33.67,106.61,372.72
Ro-pax ship,11178.01,166.08,519.47,4534.18
Passenger ship,1267.75,45.95,147.3,3571.39
Ro-pax ship,381.6,77.23,246.67,483.75
Vehicle carrier,142.4,79.64,249.45,133.83
General cargo ship,568.35,475.93,1505.11,650.05
General cargo ship,596.14,27.5,88.04,2029.42
Vehicle carrier,174.24623,23.54,74.61,1259.35
General cargo ship,111.65,34.06,107.82,389.0
Ro-pax ship,2173.132,76.12,241.45,1586.11
Ro-pax ship,15727.338003,132.19,412.4,5280.15
Other ship types,3408.251,143.76,460.88,2137.5
Ro-pax ship,9284.5,127.46,401.69,5229.0
Passenger ship,10230.88,175.95,564.09,4365.72
Other ship types,2966.62,100.43,313.34,3120.5
Passenger ship,2957.15,87.21,279.61,3744.15
Other ship types,68.0,51.91,164.32,91.47
Ro-pax ship,12932.86,125.0,389.71,6713.87
Ro-pax ship,1707.74,42.75,137.07,3420.92
Ro-pax ship,10176.2397,137.83,434.36,5167.4
General cargo ship,369.75,43.79,138.74,1440.77
Ro-pax ship,10433.931,174.56,546.12,3398.12
Ro-pax ship,6119.23,186.18,546.28,1813.4
Ro-pax ship,4198.144,86.76,278.15,4807.87
Ro-pax ship,9293.6,145.19,465.49,4265.3
Passenger ship,2672.41,99.62,319.38,2423.83
Other ship types,2627.75,117.31,366.24,2101.58
Ro-pax ship,7082.45,191.86,604.41,2783.8
Ro-pax ship,14506.78,146.53,457.02,6279.4
Ro-pax ship,10165.415,153.84,480.14,3971.35
Container ship,1244.64,118.52,372.02,1412.1
Ro-pax ship,16686.75,172.31,545.16,6370.1
Container ship,6470.43,178.96,560.18,2546.93
Other ship types,1222.445,41.94,134.46,2944.69
Ro-ro ship,1469.99,40.07,128.47,4405.5
Ro-pax ship,13375.31,148.93,477.46,6106.0
Passenger ship,1586.20014,55.82,178.96,6315.45
General cargo ship,211.8,45.79,144.67,516.05
Refrigerated cargo carrier,981.85,80.17,250.33,800.49
Ro-pax ship,17728.96,184.36,583.24,6334.2
Refrigerated cargo carrier,1357.45,48.5,153.23,2864.9
Ro-ro ship,1038.07,32.8,105.16,3034.01
Ro-ro ship,1286.0,36.02,115.48,3426.13
Passenger ship,1646.3,226.83,711.81,511.04
Vehicle carrier,3760.76,64.55,201.97,4605.1
Refrigerated cargo carrier,1647.99,39.9,127.91,3655.04
Ro-ro ship,8135.53,98.92,308.59,5976.65
Passenger ship,9241.4,224.73,703.36,2960.36
Ro-pax ship,4849.65,85.28,269.4,4216.24
Ro-ro ship,1193.73,74.22,234.24,1732.45
Refrigerated cargo carrier,477.12,45.52,143.66,1029.6
Refrigerated cargo carrier,1170.471,103.41,324.22,827.2
Refrigerated cargo carrier,156.6,97.25,311.8,105.6
Ro-ro ship,3369.76,49.24,157.87,5710.51
Ro-ro ship,2605.99,46.11,147.83,4984.49
General cargo ship,290.76,42.6,135.07,713.0
General cargo ship,717.01,44.18,139.83,1346.08
General cargo ship,642.1,24.13,77.35,2891.79
Bulk carrier,1411.72,52.4,164.94,3637.4
Ro-pax ship,10055.57,147.74,468.57,4143.5
Bulk carrier,567.2,72.81,230.68,1171.05
Other ship types,2387.5,158.1,506.87,1358.83
Other ship types,4167.621,142.55,457.01,2372.71
Passenger ship,1658.26,114.35,366.62,1248.8
Refrigerated cargo carrier,1039.4,97.56,312.77,2938.57
Ro-pax ship,4459.42675,103.35,325.87,2397.17
Passenger ship (Cruise Passenger ship),1350.04,66.64,213.64,1743.95
Bulk carrier,170.5,45.98,144.02,332.4
Ro-pax ship,13807.7,180.46,567.59,5278.74
General cargo ship,1102.23,53.38,171.14,2519.0
Bulk carrier,2798.448,60.95,195.4,4235.17
General cargo ship,618.702,101.46,319.77,1191.61
Refrigerated cargo carrier,1610.0,76.27,238.33,1295.34
Ro-pax ship,4980.044,101.22,320.07,2733.28
Ro-pax ship,6733.13,115.45,361.19,4056.38
Ro-ro ship,2118.97,44.18,141.51,4801.83
Refrigerated cargo carrier,2688.75,70.75,221.99,3065.1
Refrigerated cargo carrier,1854.01,63.58,199.92,2805.9
Refrigerated cargo carrier,175.904,80.95,256.69,360.0
Bulk carrier,6981.22,136.11,425.56,5010.14
Bulk carrier,5115.08,127.22,400.05,3895.44
Ro-ro ship,2742.0,42.66,133.66,5734.06
Passenger ship,7212.78,126.45,405.38,4217.22
General cargo ship,370.27,52.21,164.22,758.78
Container ship,8094.56,134.09,420.28,4737.0
Container ship,9396.69,123.16,385.3,5983.5
Container ship,9952.29,153.61,480.04,4895.8
General cargo ship,58.5,51.0,161.36,225.75
General cargo ship,508.69,42.79,134.52,1475.02
Ro-pax ship,8076.768,100.38,314.59,4602.93
Refrigerated cargo carrier,406.035,51.8,161.94,640.62
Ro-pax ship,2311.15,108.09,338.68,2060.48
Refrigerated cargo carrier,3510.0,89.66,280.98,2684.98
Ro-pax ship,14584.65,146.01,468.11,6377.0
Ro-pax ship,12956.42,134.62,422.55,6215.74
Container ship,7711.42,150.06,470.83,3945.15
Container/ro-ro cargo ship,3439.3,47.75,149.03,5618.44
Other ship types,58.9,147.99,474.46,38.5
General cargo ship,237.72,61.47,193.53,1007.0
General cargo ship,939.077,45.07,141.37,2257.82
Container ship,7606.07,149.15,469.74,3739.3
Container ship,9252.06,135.32,423.14,5211.76
Container ship,7566.32,146.52,458.64,4103.4
Container ship,8472.15,137.36,429.85,4716.8
Passenger ship,7912.84,221.21,709.21,2802.91
Passenger ship,12635.59,231.2,731.52,4342.64
Passenger ship,10812.45,265.15,830.71,3578.85
General cargo ship,523.0,47.8,151.03,1151.42
General cargo ship,534.374,50.18,158.93,1813.61
Refrigerated cargo carrier,750.212,74.66,235.05,1319.98
Refrigerated cargo carrier,750.9,43.47,136.46,1475.0
General cargo ship,171.9,79.47,251.35,418.25
Ro-pax ship,13308.296,159.53,497.89,4435.97
General cargo ship,137.2,21.67,69.48,878.67
General cargo ship,189.379,34.74,111.39,731.07
General cargo ship,294.084,32.86,105.35,1272.54
Ro-pax ship,2354.0,83.56,262.85,2435.0
General cargo ship,228.4,33.84,108.5,913.65
General cargo ship,150.44,32.09,102.87,595.03
Passenger ship (Cruise Passenger ship),5737.13,274.49,868.85,1391.8
General cargo ship,526.733,43.2,135.47,1662.03
Ro-pax ship,2444.85328,57.49,181.32,2362.56
Passenger ship,5570.98,147.79,473.81,3470.55
Passenger ship,610.68,153.31,491.5,425.06
Container ship,3853.49,114.34,357.66,3933.97
Ro-pax ship,2285.9,96.65,302.84,1418.64
General cargo ship,144.4,53.24,168.07,243.55
Ro-ro ship,623.0,36.43,116.81,1865.53
Ro-ro ship,504.76,55.22,177.03,817.45
Container ship,1525.62,67.39,212.21,2966.9
Other ship types,436.483,64.31,203.33,498.25
General cargo ship,128.455,47.47,150.0,118.5
General cargo ship,557.76,50.21,156.98,1189.4
Ro-pax ship,1022.839,57.67,180.19,2261.59
Ro-pax ship,13033.43,147.38,464.23,5777.53
Ro-pax ship,858.7,19.7,63.15,5442.7
Ro-pax ship,969.83,25.2,80.79,4805.0
Ro-pax ship,6347.2,127.53,399.03,3874.3
Ro-pax ship,2088.96,148.83,467.45,1084.8
Refrigerated cargo carrier,471.2,78.31,247.76,410.6
Passenger ship,3495.94,114.78,367.99,3717.8
General cargo ship,1852.4,89.08,281.19,1784.9
Ro-ro ship,3050.9,48.6,151.63,5772.05
Passenger ship,4200.26,110.04,352.79,3787.86
General cargo ship,2511.64,86.42,271.04,2453.4
Refrigerated cargo carrier,840.12,74.75,233.49,677.03
Ro-pax ship,13874.28,159.71,499.75,5613.08
Ro-pax ship,8448.31,130.57,413.15,4668.5
Oil tanker,1834.57,62.63,195.1,2348.06
Ro-pax ship,4251.987,97.03,311.09,3472.57
General cargo ship,574.04,76.54,238.74,711.07
General cargo ship,3129.315,77.16,242.31,3550.43
Refrigerated cargo carrier,756.076,60.9,192.14,2164.58
Refrigerated cargo carrier,1685.06,81.89,257.02,1229.29
Refrigerated cargo carrier,5015.252,95.54,299.34,3433.32
Refrigerated cargo carrier,3246.74,101.57,318.64,2298.42
Refrigerated cargo carrier,127.89,77.78,246.09,109.19
Bulk carrier,468.72,72.4,228.15,957.0
Ro-pax ship,15866.76,196.69,613.58,4841.36
Ro-pax ship,12716.83,204.54,639.58,3763.0
Refrigerated cargo carrier,1461.171,69.6,217.32,1414.56
Ro-pax ship,14373.5416,156.29,488.33,5927.31
Refrigerated cargo carrier,1002.89,128.56,409.39,750.18
Refrigerated cargo carrier,1614.33,83.6,262.69,1449.2
Ro-pax ship,5820.42745,101.63,317.75,4547.83
Ro-pax ship,3972.9,82.76,261.39,3692.63
Ro-pax ship,4185.06999,93.11,292.08,2807.0
Refrigerated cargo carrier,978.206,64.63,203.22,1212.62
Refrigerated cargo carrier,747.625,60.06,188.79,966.22
Container ship,268.07,86.87,274.36,338.01
Container ship,267.34,93.31,291.64,351.64
Ro-ro ship,822.77,81.1,253.34,731.5
Ro-pax ship,3123.2,83.2,266.74,3658.97
Refrigerated cargo carrier,2239.56,100.22,313.69,1718.63
Refrigerated cargo carrier,5982.632,98.8,309.28,4042.4
Ro-pax ship,4888.51,78.0,244.39,5261.7
Ro-pax ship,5143.84,89.82,283.14,4120.33
Ro-pax ship,1878.506,83.37,264.84,5907.0
Other ship types,3681.4,139.01,434.28,2002.42
Bulk carrier,957.93,47.49,150.37,3465.62
Chemical tanker,978.12,47.34,151.77,3162.0
Chemical tanker,1263.0,49.87,159.89,3653.52
Ro-pax ship,8953.47,235.15,737.63,3128.32
Ro-pax ship,12151.782,102.13,318.88,5280.15
General cargo ship,724.82,38.9,122.84,1939.77
General cargo ship,1036.02,38.58,122.18,2481.47
Refrigerated cargo carrier,2092.716,82.27,258.96,1752.27
Refrigerated cargo carrier,1450.3,76.78,239.28,1087.42
Container ship,6659.92,153.66,483.18,3429.1
Refrigerated cargo carrier,1659.44,87.92,274.77,1312.2
Ro-pax ship,5480.17,66.04,211.71,6297.85
Container ship,4987.21,100.73,320.54,4690.1
Ro-pax ship,7026.94248,114.45,357.96,4310.85
Ro-pax ship,5480.37,64.73,207.53,6802.4
Refrigerated cargo carrier,1019.473,58.72,184.31,1682.23
General cargo ship,233.8,18.54,59.45,1628.72
General cargo ship,778.0,45.96,145.27,1702.87
General cargo ship,792.88,30.91,97.38,2840.35
Refrigerated cargo carrier,2464.7,62.51,196.21,3242.6
Refrigerated cargo carrier,1133.407,74.07,233.74,1319.12
Other ship types,342.4,61.1,191.89,506.92
Other ship types,93.0,50.19,159.24,0.0
General cargo ship,2530.071,72.03,225.3,2927.52
Refrigerated cargo carrier,6698.56,76.92,240.67,5490.58
Refrigerated cargo carrier,6710.93,78.62,245.98,5381.48
Refrigerated cargo carrier,6840.33,86.88,272.02,5083.6
Refrigerated cargo carrier,7099.64,87.24,273.0,5235.08
Bulk carrier,450.365,66.22,207.46,542.33
Refrigerated cargo carrier,1188.654,62.8,197.35,2086.35
Chemical tanker,2280.1,84.86,266.39,2084.55
Ro-pax ship,4988.89,85.01,272.53,5035.98
Ro-pax ship,11286.509981,152.38,475.82,4986.0
Other ship types,2438.6,77.77,249.33,3514.65
Ro-pax ship,10100.94,153.44,480.08,4315.14
Container ship,1714.82,106.6,331.96,1684.0
Refrigerated cargo carrier,464.8,76.9,240.92,423.43
Vehicle carrier,1531.14,74.51,232.17,1470.35
Refrigerated cargo carrier,755.191,55.9,175.79,1266.55
Refrigerated cargo carrier,1291.576,72.22,226.47,1737.95
Ro-pax ship,9980.11,131.32,414.36,4832.81
Ro-pax ship,9547.93,157.06,493.72,3711.76
Refrigerated cargo carrier,4155.9,74.71,234.26,3808.85
Ro-pax ship,2622.79,119.97,384.61,1518.48
Ro-pax ship,4784.82,103.69,324.08,3183.92
Refrigerated cargo carrier,3620.0,96.69,301.65,2557.5
Refrigerated cargo carrier,3966.8,87.56,273.37,3216.5
Refrigerated cargo carrier,4722.5,107.11,334.21,2653.3
Refrigerated cargo carrier,3817.8,87.28,272.38,2971.6
Refrigerated cargo carrier,4039.51,89.15,278.15,3033.2
Bulk carrier,256.14,61.27,192.12,391.16
Passenger ship,6518.3,174.31,557.46,2616.3
Bulk carrier,132.75,36.83,115.94,501.0
Container ship,3233.47,112.55,353.21,2902.45
Container ship,1642.54,89.96,284.0,2698.45
Other ship types,1755.82,67.57,211.05,2132.28
Vehicle carrier,2332.32,34.73,110.73,5843.08
Vehicle carrier,2366.46,34.68,111.19,5669.22
Passenger ship,9473.98,219.98,696.01,3226.63
Bulk carrier,777.945,82.4,258.28,901.0
Vehicle carrier,4610.1,83.97,263.41,4480.0
Passenger ship,11407.3,296.39,933.35,2974.68
Passenger ship (Cruise Passenger ship),10978.0,258.22,807.65,3369.1
General cargo ship,1332.8,89.1,278.73,1418.4
General cargo ship,1161.9,87.02,274.56,1075.2
General cargo ship,285.6,38.88,122.84,633.0
Passenger ship,15893.42,338.32,1058.89,3947.4
Refrigerated cargo carrier,365.72,61.3,192.01,528.05
Vehicle carrier,411.8,89.15,280.02,339.5
Container ship,5831.86,192.42,601.59,2190.1
Vehicle carrier,830.0,106.67,334.72,557.78
Vehicle carrier,5421.91,98.82,309.0,4043.23
Bulk carrier,359.9,80.5,251.93,452.6
General cargo ship,2059.71,87.45,273.46,1839.1
General cargo ship,1844.95,85.35,266.69,1816.08
Ro-pax ship,3472.21,112.05,350.9,3342.1
General cargo ship,1348.02,52.47,165.16,2140.64
General cargo ship,346.89,48.94,152.87,578.89
General cargo ship,1882.98,60.29,190.0,2461.36
General cargo ship,760.21,68.71,216.5,971.18
Ro-pax ship,4016.26144,73.06,228.42,4183.52
General cargo ship,1785.17,80.69,252.27,1792.7
General cargo ship,571.81,41.69,131.83,1311.97
Bulk carrier,283.22,61.77,193.51,551.62
Bulk carrier,441.212,57.02,178.38,636.79
Container ship,4114.97,66.12,206.24,4280.4
Container ship,3496.137,63.08,196.88,3940.22
Bulk carrier,114.9,89.86,283.69,143.67
Bulk carrier,475.3,59.33,186.16,970.72
Bulk carrier,92.8,60.46,189.3,161.33
Container ship,2779.87,102.33,320.18,3465.5
General cargo ship,335.2,35.64,112.04,1057.13
Container ship,2464.68,206.44,643.73,772.8
Container ship,3483.294,187.52,584.56,1463.3
Container ship,6033.389,228.59,713.81,1834.0
LNG carrier,19469.19428,289.61,843.26,4907.65
Bulk carrier,926.82,58.97,184.89,1843.46
Bulk carrier,386.35,48.65,153.8,948.83
Bulk carrier,154.35,51.64,163.68,492.45
Bulk carrier,208.0,57.41,181.24,330.5
General cargo ship,492.0,50.97,160.94,867.68
Bulk carrier,304.503,77.8,244.47,537.14
Ro-pax ship,10158.46,149.36,470.64,5039.7
Ro-pax ship,15783.86,187.41,585.33,5064.57
LNG carrier,13016.80012,330.33,979.35,2752.55
Ro-pax ship,4936.89,105.15,332.6,3435.37
Ro-ro ship,8113.11,83.22,262.41,7138.28
Ro-ro ship,8031.421,80.64,254.4,7275.9
Ro-ro ship,7471.852,77.04,242.89,7108.7
Ro-pax ship,10865.039994,129.05,401.9,5844.3
Ro-pax ship,11423.487098,128.16,403.32,5849.2
Ro-pax ship,6106.8,111.03,350.4,3578.99
Vehicle carrier,5500.0,87.51,274.09,4153.29
Container ship,1572.1,81.58,258.96,1404.8
Ro-pax ship,11206.78,174.82,546.07,3651.28
General cargo ship,1811.06,85.24,266.05,1771.8
Container ship,236.49,61.92,195.57,334.74
Ro-pax ship,19073.23,186.18,580.41,5802.88
General cargo ship,66.7,46.06,144.69,288.0
Bulk carrier,2412.712,47.31,151.68,5858.55
Chemical tanker,1965.23,144.96,447.61,1173.9
Chemical tanker,1239.91,129.35,407.21,735.5
Chemical tanker,3714.51,130.94,413.37,2366.6
Chemical tanker,4486.18,134.88,423.78,2478.5
Passenger ship,117.07,266.97,831.64,29.25
General cargo ship,107.59,24.42,78.29,486.0
General cargo ship,3039.9,81.64,256.99,2994.6
Container ship,43.37,36.73,114.94,194.75
Container ship,45.28,30.74,96.67,142.97
Container ship,79.55,37.11,117.77,329.23
Gas carrier,620.59,63.64,200.12,907.47
Container ship,1883.2,177.53,555.52,883.2
Bulk carrier,582.777,69.38,217.09,1017.87
Ro-ro ship,328.3,80.09,253.59,723.23
Bulk carrier,1900.3,60.14,192.8,3062.07
Ro-pax ship,9102.37,309.53,977.76,1700.4
Ro-pax ship,1103.4991,105.88,339.47,493.08
Passenger ship (Cruise Passenger ship),18494.88,341.46,1069.06,4964.3
Container ship,1036.79,78.85,247.65,1516.83
Container ship,833.697,77.71,243.85,1091.34
General cargo ship,828.81,51.09,161.11,1690.55
General cargo ship,749.78,45.99,145.03,1973.72
General cargo ship,1636.97,82.23,257.99,1642.6
Bulk carrier,888.4,148.04,463.41,621.5
Ro-pax ship,5721.93,72.84,233.54,6572.46
Ro-pax ship,5931.8,68.62,219.99,6706.91
Ro-pax ship,6098.31,69.2,221.87,6760.93
Container ship,2734.61,57.17,180.75,4049.75
Container ship,6321.6,110.56,347.55,4774.7
Container ship,6410.364,129.11,404.93,3984.45
Ro-pax ship,8696.16,126.72,399.3,5415.27
Container ship,3565.14,77.97,243.24,4136.6
Ro-pax ship,897.6,69.37,217.49,1460.82
Ro-pax ship,5269.88,75.34,235.45,5940.9
Chemical tanker,2798.1,52.22,167.42,5018.15
Bulk carrier,1259.3,69.77,219.05,1640.4
Bulk carrier,372.06,42.56,133.69,830.98
Bulk carrier,1356.07,70.39,223.5,2105.45
Bulk carrier,1332.51,60.36,191.28,2357.74
Ro-pax ship,3581.263674,99.65,311.28,2303.3
Bulk carrier,455.173,52.73,165.65,1101.22
Bulk carrier,254.429,59.82,187.81,387.43
Container ship,11292.97,185.19,577.49,4380.6
Container ship,9546.54,223.01,699.61,3279.68
Container ship,11474.32,205.3,640.33,4057.9
Bulk carrier,496.19,58.18,182.02,926.43
Ro-ro ship,2422.26,59.97,190.48,3282.15
Ro-pax ship,4720.41,86.97,271.25,5017.35
Ro-pax ship,3872.26,74.24,231.62,4462.99
General cargo ship,1984.14,61.26,193.05,3409.21
Other ship types,84.25,66.39,209.66,226.65
Container ship,1737.16,69.23,218.04,3919.72
Other ship types,1726.2,37.83,118.75,4335.02
Bulk carrier,1497.7,59.83,188.99,2658.52
Other ship types,2137.71,56.32,177.33,4305.6
Chemical tanker,2736.88,91.69,288.61,2410.11
Chemical tanker,1531.69,99.83,313.64,1303.2
Container ship,21.68,31.49,98.24,55.13
Bulk carrier,511.66,71.34,222.51,757.9
Bulk carrier,1297.5,66.36,207.72,1864.31
Bulk carrier,829.8,52.82,165.0,1740.92
General cargo ship,739.59,34.43,107.79,3157.65
Container ship,4433.01,124.42,392.34,3143.2
General cargo ship,546.98,29.63,94.38,1049.4
General cargo ship,2846.42,59.8,188.49,5008.09
Passenger ship,134.34,312.55,978.5,32.23
Bulk carrier,452.7,53.28,168.31,898.45
General cargo ship,536.85,86.54,271.14,496.52
General cargo ship,2790.24,99.32,312.39,2602.52
Bulk carrier,389.8,62.74,198.75,578.0
Bulk carrier,71.9,228.98,728.16,44.0
Ro-ro ship,300.76,61.37,196.74,519.94
Bulk carrier,810.4,68.97,215.76,1105.82
Bulk carrier,315.2,57.55,184.49,2325.31
Bulk carrier,713.55,38.62,122.17,2681.58
Bulk carrier,593.8,47.68,151.16,1222.8
Chemical tanker,2622.7,47.17,151.23,5398.6
Container ship,464.84,101.36,318.37,709.63
Bulk carrier,787.4,71.48,228.06,1107.4
General cargo ship,146.142,31.73,101.74,769.17
Refrigerated cargo carrier,628.39,55.47,174.08,1612.65
Chemical tanker,566.68,46.97,150.57,1327.07
Container ship,5757.63,255.67,798.15,1836.6
Ro-ro ship,7146.18,111.23,349.5,4739.9
General cargo ship,875.69,76.53,240.32,1060.8
General cargo ship,1214.73,51.61,165.45,2494.13
Ro-ro ship,9311.17,84.39,263.14,6934.83
Ro-ro ship,5294.65,77.7,242.94,5575.76
Container ship,156.2,119.79,384.03,160.1
Passenger ship (Cruise Passenger ship),12944.9,215.48,674.55,4089.64
Vehicle carrier,3303.03,111.11,345.94,2026.0
Bulk carrier,386.15,38.82,121.71,1468.55
Vehicle carrier,1891.35,105.19,311.79,1217.8
